prop_to_talk,average_points_TFT,average_points_TFT95
0.694,1.813,1.845
0.695,1.813,1.839
0.696,1.807,1.843
0.697,1.807,1.836
0.698,1.804,1.859
0.699,1.807,1.841
0.7,1.808,1.848
0.701,1.797,1.829
0.702,1.792,1.812
0.703,1.791,1.84
0.704,1.79,1.83
0.705,1.794,1.806
0.706,1.783,1.828
0.707,1.786,1.804
0.708,1.774,1.798
0.709,1.767,1.814
0.71,1.775,1.796
0.711,1.764,1.799
0.712,1.764,1.805
0.713,1.768,1.802
0.714,1.761,1.79
0.715,1.768,1.784
0.716,1.759,1.778
0.717,1.756,1.77
0.718,1.751,1.786
0.719,1.758,1.791
0.72,1.745,1.769
0.721,1.748,1.794
0.722,1.741,1.75
0.723,1.744,1.773
0.724,1.745,1.772
0.725,1.746,1.784
0.726,1.74,1.772
0.727,1.734,1.759
0.728,1.727,1.75
0.729,1.731,1.767
0.73,1.721,1.733
0.731,1.723,1.743
0.732,1.728,1.753
0.733,1.712,1.745
0.734,1.715,1.731
0.735,1.715,1.746
0.736,1.712,1.761
0.737,1.701,1.728
0.738,1.712,1.737
0.739,1.709,1.74
0.74,1.703,1.726
0.741,1.711,1.729
0.742,1.689,1.726
0.743,1.7,1.743
0.744,1.689,1.723
0.745,1.695,1.732
0.746,1.683,1.697
0.747,1.696,1.713
0.748,1.685,1.698
0.749,1.682,1.704
0.75,1.684,1.702
0.751,1.676,1.694
0.752,1.668,1.699
0.753,1.679,1.697
0.754,1.662,1.663
0.755,1.662,1.674
0.756,1.67,1.696
0.757,1.659,1.681
0.758,1.655,1.703
0.759,1.658,1.679
0.76,1.661,1.697
0.761,1.654,1.672
0.762,1.647,1.659
0.763,1.638,1.679
0.764,1.638,1.66
0.765,1.635,1.668
0.766,1.639,1.665
0.767,1.632,1.643
0.768,1.643,1.668
0.769,1.636,1.659
0.77,1.624,1.649
0.771,1.618,1.641
0.772,1.624,1.652
0.773,1.615,1.63
0.774,1.618,1.643
0.775,1.613,1.636
0.776,1.615,1.631
0.777,1.619,1.653
0.778,1.62,1.673
0.779,1.605,1.637
0.78,1.608,1.64
